"","ZIPCODE","BLDGZIP","PO_NAME","POPULATION","AREA","STATE","COUNTY","ST_FIPS","CTY_FIPS","URL","SHAPE_AREA","SHAPE_LEN","ZipCode","num_dogs","BreedName","num_breeds","pop_breed","AnimalName","num_names","pop_name","Borough","n_dogs_borough","dogs_per_capita","Affenpinscher","Afghan Hound","Afghan Hound Crossbreed","Airedale Terrier","Akita","Akita Crossbreed","Alaskan Malamute","American Bully","American English Coonhound","American Eskimo dog","American Foxhound","American Hairless Terrier","American Leopard Hound","American Pit Bull Mix / Pit Bull Mix","American Pit Bull Terrier/Pit Bull","American Staffordshire Terrier ","American Water Spaniel","Anatolian Shepherd Dog","Australian Cattle Dog","Australian Cattledog","Australian Kelpie","Australian Shepherd","Australian Silky Terrier","Australian Terrier","Barbet","Basenji","Basset Hound","Bassett Hound","Beagle","Beagle Crossbreed","Bearded Collie","Bedlington Terrier","Belgian Griffon","Belgian Malinois","Belgian Sheepdog","Belgian Tervuren","Berger Picard","Bernese Mountain Dog","Bichon Frise","Bichon Frise Crossbreed","Biewer Terrier","Black and Tan Coonhound","Black Russian Terrier","Bloodhound","Bloodhound Crossbreed","Bluetick Coonhound","Boerboel","Bolognese","Border Collie","Border Collie Crossbreed","Border Terrier","Borzoi","Boston Terrier","Bouvier Des Flandres","Boxer","Boxer Crossbreed","Boykin Spaniel","Bracco Italiano","Briard","Brittany","Brittany Spaniel","Brussels Griffon","Bull Dog, American","Bull Dog, English","Bull Dog, French","Bull Terrier","Bulldog","Bullmastiff","Cairn Terrier","Canaan Dog","Cane Corso","Cardigan Welsh Corgi","Catahoula Leopard Dog","Cavalier King Charles Spaniel","Cesky Terrier","Chesapeake Bay Retriever","Chihuahua","Chihuahua Crossbreed","Chinese Crested","Chinese Shar-Pei","Chinook","Chow Chow","Cirneco dell","Clumber Spaniel","Cocker Spaniel","Cocker Spaniel Crossbreed","Collie","Collie Crossbreed","Collie, Bearded ","Collie, Border","Collie, Rough Coat","Collie, Smooth Coat","Coonhound, Black and Tan","Coonhound, Blue Tick","Coonhound, Treeing Walker","Coton de Tulear","Cotton De Tulear","Curly-Coated Retriever","Dachshund","Dachshund Crossbreed","Dachshund Smooth Coat","Dachshund Smooth Coat Miniature","Dachshund, Long Haired","Dachshund, Long Haired Miniature","Dachshund, Wirehaired","Dachshund, Wirehaired, Miniature","Dalmatian","Dandie Dinmont Terrier","Doberman Pinscher","Dogo Argentino","Dogue de Bordeaux","Dutch Shepherd","English Cocker Spaniel","English Foxhound","English Setter","English Springer Spaniel","English Toy Spaniel","Entlebucher Mountain Dog","Eurasier","Field Spaniel","Fila Brasileiro","Finnish Lapphund","Finnish Spitz","Flat-Coated Retriever","French Bulldog","French Spaniel","German Longhaired Pointer","German Pinscher","German Shepherd Crossbreed","German Shepherd Dog","German Shorthaired Pointer","German Spitz","German Wirehaired Pointer","Giant Schnauzer","Glen of Imaal Terrier","Golden Retriever","Goldendoodle","Gordon Setter","Grand Basset Griffon Vendeen","Great Dane","Great Pyrenees","Greater Swiss Mountain Dog","Greyhound","Hamiltonstovare","Harrier","Havanese","Hovawart","Ibizan Hound","Irish Red and White Setter","Irish Setter","Irish Terrier","Irish Wolfhound","Italian Greyhound","Jack Russell Terrier","Japanese Chin","Japanese Chin/Spaniel","Jindo","Jindo Dog, Korea","Kai Ken","Karelian Bear Dog","Keeshond","Kerry Blue Terrier","Kooikerhondje","Kromfohrlander","Kuvasz","Labradoodle","Labrador Retriever","Labrador Retriever Crossbreed","Lagotto Romagnolo","Lakeland Terrier","Lancashire Heeler","Leonberger","Lhasa Apso","Lowchen","Maltese","Maltese Crossbreed","Maltipoo","Manchester Terrier","Mastiff","Mastiff, Bull","Mastiff, French (Dogue de Bordeaux)","Mastiff, Neapolitan","Mastiff, Old English","Mastiff, Tibetan","Miniature American Shepherd","Miniature Bull Terrier","Miniature Fox Terrier","Miniature Pinscher","Miniature Schnauzer","Morkie","Mudi","Neapolitan Mastiff","Newfoundland","Norfolk Terrier","Norwegian Buhund","Norwegian Elkhound","Norwich Terrier","Nova Scotia Duck Tolling Retriever","Old English Sheepdog","Otterhound","Papillon","Parson Russell Terrier","Pekingese","Pembroke Welsh Corgi","Pembroke Welsh Corgi Crossbreed","Perro de Presa Canario","Peruvian Inca Orchid","Petit Basset Griffon Vendeen","Pharaoh Hound","Pharoh hound","Plott","Pointer","Pointer, German Shorthaired","Pointer, German Wirehaired","Polish Hound","Polish Lowland Sheepdog","Pomeranian","Pomeranian Crossbreed","Poodle","Poodle Crossbreed","Poodle, Miniature","Poodle, Standard","Poodle, Toy","Portuguese Podengo Pequeno","Portuguese Sheepdog","Portuguese Water Dog","Pug","Pug Crossbreed","Puggle","Puli","Pumi","Pyrenean Shepherd","Rat Terrier","Rat Terrier Crossbreed","Redbone Coonhound","Rhodesian Ridgeback","Rottweiler","Rottweiler Crossbreed","Russell Terrier","Russian Toy","Russian Wolfhound","Saint Bernard","Saluki","Samoyed","Schipperke","Schipperkee","Schnauzer Crossbreed","Schnauzer, Giant","Schnauzer, Miniature","Schnauzer, Miniature Crossbreed","Schnauzer, Standard","Scottish Deerhound","Scottish Terrier","Sealyham Terrier","Shar-Pei, Chinese","Shetland Sheepdog","Shiba Inu","Shiba Inu Crossbreed","Shih Tzu","Shih Tzu Crossbreed","Siberian Husky","Siberian Husky Crossbreed","Silky Terrier","Skye Terrier","Small Munsterlander Pointer","Smooth Fox Terrier","Soft Coated Wheaten Terrier","Spanish Water Dog","Spinone Italiano","St. Bernard","Staffordshire Bull Terrier","Standard Schnauzer","Sussex Spaniel","Swedish Vallhund","Terrier Crossbreed","Terrier mix","Thai Ridgeback","Tibetan Mastiff","Tibetan Spaniel","Tibetan Terrier","Toy Fox Terrier","Treeing Tennessee Brindle","Treeing Walker Coonhound","Vizsla","Weimaraner","Welsh Corgi, Cardigan","Welsh Corgi, Pembroke","Welsh Springer Spaniel","Welsh Terrier","West High White Terrier","West Highland White Terrier","Wheaton Terrier","Whippet","Wire Fox Terrier","Wirehaired Pointing Griffon","Xoloitzcuintli","Yorkshire Terrier","Yorkshire Terrier Crossbreed"
"1",11436,"0","Jamaica",18681,22699295.4594145,"NY","Queens","36","081","http://www.usps.com/",0,0,11436,114,"Yorkshire Terrier",14,"Yorkshire Terrier","LUCKY",4,"LUCKY","Queens",112,0.00610245704191424,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2
"2",11213,"0","Brooklyn",62426,29631004.437939,"NY","Kings","36","047","http://www.usps.com/",0,0,11213,371,"Yorkshire Terrier",28,"Yorkshire Terrier","BELLA",4,"BELLA","Brooklyn",369,0.00594303655528145,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,16,13,NA,1,NA,3,NA,2,NA,NA,NA,1,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,2,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,19,11,NA,NA,NA,NA,NA,NA,7,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,NA,2,NA,15,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,3,1,5,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA,NA,NA,1,NA,2,NA,24,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,2,1,NA,NA,NA,NA,NA,28,1
"3",11212,"0","Brooklyn",83866,41972104.0714198,"NY","Kings","36","047","http://www.usps.com/",0,0,11212,383,"Shih Tzu",45,"Shih Tzu","BELLA",9,"BELLA","Brooklyn",381,0.00456680895714592,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,25,28,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,5,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,2,NA,25,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1,5,7,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,45,9,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,8
"4",11225,"0","Brooklyn",56527,23698630.1249252,"NY","Kings","36","047","http://www.usps.com/",0,0,11225,518,"Yorkshire Terrier",32,"Yorkshire Terrier","COSMO",4,"COSMO","Brooklyn",514,0.00916376244980275,NA,NA,NA,1,3,NA,NA,2,NA,NA,NA,NA,NA,26,26,11,NA,1,1,2,NA,7,NA,NA,NA,NA,NA,2,7,6,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,1,NA,1,4,3,2,NA,2,2,4,NA,NA,4,NA,NA,23,6,NA,NA,NA,2,NA,NA,8,1,NA,NA,NA,2,NA,NA,3,NA,1,NA,NA,NA,1,1,2,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,2,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,15,24,NA,NA,NA,NA,1,NA,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,11,NA,2,3,6,5,1,NA,NA,2,4,NA,7,NA,NA,NA,2,NA,1,3,3,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,1,NA,3,NA,NA,NA,3,NA,22,8,6,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,1,2,4,3,1,NA,1,1,2,NA,NA,NA,NA,32,4
"5",11218,"0","Brooklyn",72280,36868798.9897562,"NY","Kings","36","047","http://www.usps.com/",0,0,11218,1075,"Shih Tzu",49,"Shih Tzu","DAISY",13,"DAISY","Brooklyn",1069,0.0148727172108467,NA,NA,NA,1,NA,NA,1,1,1,2,NA,NA,NA,31,25,5,NA,NA,3,1,1,6,1,NA,NA,NA,3,1,27,12,NA,NA,NA,NA,1,NA,NA,4,9,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,2,1,15,NA,4,NA,NA,NA,NA,1,1,2,NA,8,11,4,NA,NA,6,NA,3,NA,NA,8,1,NA,35,18,NA,NA,NA,1,NA,NA,17,1,1,10,NA,1,NA,NA,3,NA,1,NA,1,NA,9,3,5,2,1,2,NA,NA,NA,1,4,NA,NA,NA,2,1,2,NA,NA,NA,NA,1,NA,NA,NA,1,3,NA,NA,NA,34,28,NA,NA,NA,NA,NA,14,2,NA,NA,2,1,NA,3,NA,NA,11,NA,1,NA,NA,1,NA,3,21,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,36,37,1,NA,NA,NA,9,NA,32,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,2,4,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,17,NA,4,6,13,7,5,NA,NA,2,19,1,6,NA,NA,1,5,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,9,1,5,NA,NA,NA,3,2,13,NA,49,9,7,1,2,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,9,9,NA,NA,2,1,NA,NA,NA,1,NA,1,1,NA,1,4,1,2,1,5,NA,NA,44,5
"6",11226,"0","Brooklyn",106132,39408598.2790117,"NY","Kings","36","047","http://www.usps.com/",0,0,11226,754,"Yorkshire Terrier",50,"Yorkshire Terrier","LOLA",11,"LOLA","Brooklyn",750,0.00710436060754532,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,39,32,4,NA,2,NA,4,NA,5,NA,NA,NA,1,5,4,13,12,NA,NA,NA,3,NA,NA,NA,1,8,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA,6,1,NA,NA,NA,NA,1,5,NA,2,1,1,3,NA,3,NA,3,1,4,4,NA,2,33,9,1,NA,NA,5,NA,NA,12,NA,NA,3,NA,1,NA,NA,NA,1,3,NA,NA,NA,7,4,3,1,1,NA,NA,NA,2,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,20,7,2,NA,NA,NA,NA,4,NA,1,NA,NA,1,NA,2,NA,NA,9,NA,NA,NA,NA,NA,NA,4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,27,NA,NA,NA,NA,6,NA,21,5,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,1,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1,3,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,7,3,4,4,6,6,10,1,NA,NA,8,1,4,1,NA,NA,5,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,1,NA,4,NA,38,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,8,NA,NA,1,NA,NA,NA,NA,1,NA,NA,3,NA,1,2,NA,2,NA,NA,NA,NA,50,3
"7",11219,"0","Brooklyn",92561,42002738.4672304,"NY","Kings","36","047","http://www.usps.com/",0,0,11219,329,"Shih Tzu",25,"Shih Tzu","GINGER",4,"GINGER","Brooklyn",325,0.00355441276563564,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,9,5,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,4,3,1,NA,NA,3,NA,NA,NA,NA,3,NA,NA,21,2,NA,NA,NA,1,NA,NA,7,NA,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,7,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,8,NA,NA,NA,NA,1,NA,22,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,2,7,4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,8,NA,25,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,24,NA
"8",11210,"0","Brooklyn",67067,47887022.9921604,"NY","Kings","36","047","http://www.usps.com/",0,0,11210,299,"Shih Tzu",18,"Shih Tzu","MAX",8,"MAX","Brooklyn",286,0.00445822833882535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,15,15,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,6,NA,NA,NA,NA,NA,NA,1,NA,3,NA,2,1,NA,1,NA,2,NA,NA,3,NA,NA,16,5,NA,NA,NA,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,4,NA,NA,NA,NA,1,NA,6,4,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,2,2,2,2,NA,NA,NA,1,NA,4,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,18,6,3,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,17,2
"9",11230,"0","Brooklyn",80857,49926703.3933172,"NY","Kings","36","047","http://www.usps.com/",0,0,11230,576,"Yorkshire Terrier",50,"Yorkshire Terrier","BUDDY",7,"BUDDY","Brooklyn",571,0.00712368749768109,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,17,9,3,NA,1,NA,3,NA,1,NA,NA,NA,1,NA,1,10,5,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,NA,NA,9,NA,6,NA,NA,NA,NA,NA,1,1,NA,2,2,NA,1,NA,3,NA,2,NA,NA,3,NA,NA,25,7,1,NA,NA,NA,NA,1,12,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,1,1,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,11,8,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14,19,NA,NA,NA,NA,4,NA,32,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,NA,NA,NA,NA,NA,2,NA,NA,4,NA,3,NA,9,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,8,NA,6,1,7,3,5,NA,NA,1,11,NA,1,NA,NA,NA,2,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,NA,NA,NA,NA,NA,6,NA,36,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,NA,NA,50,3
"10",11204,"0","Brooklyn",77354,43555184.613285,"NY","Kings","36","047","http://www.usps.com/",0,0,11204,567,"Yorkshire Terrier",51,"Yorkshire Terrier","BELLA",12,"BELLA","Brooklyn",561,0.00732993768906585,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,7,9,2,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,1,19,5,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,1,NA,1,5,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,42,7,1,NA,NA,2,NA,NA,12,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,7,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,12,NA,NA,NA,NA,NA,10,NA,NA,NA,2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,13,NA,NA,NA,NA,1,NA,31,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,22,1,2,3,7,2,4,NA,NA,NA,12,1,8,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,4,NA,1,NA,NA,NA,1,2,5,NA,39,4,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,51,6
